instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,percentcas,percentreg
31,1/2/11,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,0,1
32,1/2/11,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,0,1
33,1/2/11,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,0.05,0.95
34,1/2/11,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,0.132075472,0.867924528
35,1/2/11,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,0.228571429,0.771428571
36,1/2/11,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,0.215053763,0.784946237
37,1/2/11,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,0.146666667,0.853333333
38,1/2/11,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,0.06779661,0.93220339
39,1/2/11,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,0.256756757,0.743243243
40,1/2/11,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,0.118421053,0.881578947
41,1/2/11,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,0.107692308,0.892307692
42,1/2/11,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,0.188679245,0.811320755
43,1/2/11,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,0.033333333,0.966666667
44,1/2/11,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,0.227272727,0.772727273
45,1/2/11,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,0.35483871,0.64516129
46,1/2/11,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,0,1
47,1/2/11,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,0,1
48,1/3/11,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,0,1
49,1/3/11,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,0,1
50,1/3/11,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,0,1
51,1/3/11,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,0,1
52,1/3/11,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,0,1
53,1/3/11,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,0.015625,0.984375
54,1/3/11,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,0.006493506,0.993506494
55,1/3/11,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,0.079545455,0.920454545
56,1/3/11,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,0.25,0.75
57,1/3/11,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,0.196078431,0.803921569
58,1/3/11,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,0.213114754,0.786885246
59,1/3/11,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,0.131147541,0.868852459
60,1/3/11,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,0.142857143,0.857142857
61,1/3/11,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,0.194444444,0.805555556
62,1/3/11,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,0.118421053,0.881578947
63,1/3/11,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,0.070063694,0.929936306
64,1/3/11,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,0.057324841,0.942675159
65,1/3/11,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,0.072727273,0.927272727
66,1/3/11,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,0.057692308,0.942307692
67,1/3/11,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,0.057692308,0.942307692
68,1/3/11,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,0,1
69,1/3/11,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,0.083333333,0.916666667
70,1/4/11,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0,1
71,1/4/11,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,0,1
72,1/4/11,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,0,1
73,1/4/11,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,0,1
74,1/4/11,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,0,1
75,1/4/11,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,0,1
76,1/4/11,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,0.021276596,0.978723404
77,1/4/11,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,0.011173184,0.988826816
78,1/4/11,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,0.02,0.98
79,1/4/11,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,0.119047619,0.880952381
80,1/4/11,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,0.122807018,0.877192982
81,1/4/11,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,0.153846154,0.846153846
82,1/4/11,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,0.18556701,0.81443299
83,1/4/11,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,0.142857143,0.857142857
84,1/4/11,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,0.261538462,0.738461538
85,1/4/11,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,0.180722892,0.819277108
86,1/4/11,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,0.047169811,0.952830189
87,1/4/11,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,0.016483516,0.983516484
88,1/4/11,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,0.017857143,0.982142857
89,1/4/11,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,0.018518519,0.981481481
90,1/4/11,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,0,1
91,1/4/11,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,0.028571429,0.971428571
92,1/4/11,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,0.181818182,0.818181818
93,1/5/11,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,0,1
94,1/5/11,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,0,1
95,1/5/11,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,0,1
96,1/5/11,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,0,1
97,1/5/11,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,0,1
98,1/5/11,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,0,1
99,1/5/11,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,0.011363636,0.988636364
100,1/5/11,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,0.015384615,0.984615385
101,1/5/11,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,0.052173913,0.947826087
102,1/5/11,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,0.070175439,0.929824561
103,1/5/11,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,0.260869565,0.739130435
104,1/5/11,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,0.063291139,0.936708861
105,1/5/11,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,0.084507042,0.915492958
106,1/5/11,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,0.161290323,0.838709677
107,1/5/11,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,0.112903226,0.887096774
108,1/5/11,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,0.04494382,0.95505618
109,1/5/11,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,0.021052632,0.978947368
110,1/5/11,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,0.017751479,0.982248521
111,1/5/11,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,0.037878788,0.962121212
112,1/5/11,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,0.078651685,0.921348315
113,1/5/11,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,0.069767442,0.930232558
114,1/5/11,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,0.023809524,0.976190476
115,1/5/11,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,0.052631579,0.947368421
116,1/6/11,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,0,1
117,1/6/11,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,0,1
118,1/6/11,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,0,1
119,1/6/11,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,0,1
120,1/6/11,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,0,1
121,1/6/11,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,0,1
122,1/6/11,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,0,1
123,1/6/11,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,0.01369863,0.98630137
124,1/6/11,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,0.049180328,0.950819672
125,1/6/11,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,0.066666667,0.933333333
126,1/6/11,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,0.033898305,0.966101695
127,1/6/11,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,0.071428571,0.928571429
128,1/6/11,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,0.179104478,0.820895522
129,1/6/11,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,0.157142857,0.842857143
130,1/6/11,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,0.129032258,0.870967742
131,1/6/11,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,0.139534884,0.860465116
132,1/6/11,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,0.052325581,0.947674419
133,1/6/11,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,0.030674847,0.969325153
134,1/6/11,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,0.026785714,0.973214286
135,1/6/11,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,0.043478261,0.956521739
136,1/6/11,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,0,1
137,1/6/11,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,0.019230769,0.980769231
138,1/6/11,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,0.173913043,0.826086957
139,1/7/11,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,0.235294118,0.764705882
140,1/7/11,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,0.285714286,0.714285714
141,1/7/11,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,0,1
142,1/7/11,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,0,1
143,1/7/11,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,0,1
144,1/7/11,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,0.235294118,0.764705882
145,1/7/11,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,0.095238095,0.904761905
146,1/7/11,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,0.095238095,0.904761905
147,1/7/11,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,0.067164179,0.932835821
148,1/7/11,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,0.253968254,0.746031746
149,1/7/11,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,0.28358209,0.71641791
150,1/7/11,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,0.152542373,0.847457627
151,1/7/11,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,0.123287671,0.876712329
152,1/7/11,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,0.14,0.86
153,1/7/11,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,0.125,0.875
154,1/7/11,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,0.057471264,0.942528736
155,1/7/11,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,0.048128342,0.951871658
156,1/7/11,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,0.056910569,0.943089431
157,1/7/11,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,0.031578947,0.968421053
158,1/7/11,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,0.019607843,0.980392157
159,1/7/11,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,0,1
160,1/7/11,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,0.055555556,0.944444444
161,1/7/11,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,0.066666667,0.933333333
162,1/8/11,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,0.04,0.96
163,1/8/11,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,0.0625,0.9375
164,1/8/11,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16,0.1875,0.8125
165,1/8/11,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,0,1
166,1/8/11,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,0,1
167,1/8/11,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,0,1
168,1/8/11,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,0,1
169,1/8/11,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,0.111111111,0.888888889
170,1/8/11,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,0,1
171,1/8/11,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,0,1
172,1/8/11,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,0.081967213,0.918032787
173,1/8/11,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,0.032258065,0.967741935
174,1/8/11,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,0.081632653,0.918367347
175,1/8/11,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,0.068627451,0.931372549
176,1/8/11,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,0.126315789,0.873684211
177,1/8/11,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,0.067567568,0.932432432
178,1/8/11,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,0.105263158,0.894736842
179,1/8/11,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,0.072463768,0.927536232
180,1/8/11,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,0.054545455,0.945454545
181,1/8/11,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,0.133333333,0.866666667
182,1/8/11,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,0,1
183,1/8/11,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,0.054054054,0.945945946
184,1/8/11,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,0.029411765,0.970588235
185,1/8/11,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,0,1
186,1/9/11,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,0.04,0.96
187,1/9/11,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,0,1
188,1/9/11,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,0,1
189,1/9/11,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,0,1
190,1/9/11,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0,1
191,1/9/11,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0,1
192,1/9/11,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,0,1
193,1/9/11,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,0.166666667,0.833333333
194,1/9/11,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,0,1
195,1/9/11,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,0,1
196,1/9/11,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,0,1
197,1/9/11,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,0.040816327,0.959183673
198,1/9/11,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,0.048192771,0.951807229
199,1/9/11,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,0.08,0.92
200,1/9/11,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,0.111111111,0.888888889
201,1/9/11,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,0.06097561,0.93902439
202,1/9/11,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,0.141304348,0.858695652
203,1/9/11,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,0.048387097,0.951612903
204,1/9/11,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,0.083333333,0.916666667
205,1/9/11,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,0.024390244,0.975609756
206,1/9/11,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,0,1
207,1/9/11,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,0.05,0.95
208,1/9/11,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,0.333333333,0.666666667
209,1/9/11,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,0,1
210,1/10/11,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,0.4,0.6
211,1/10/11,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,1,0
212,1/10/11,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,0,1
213,1/10/11,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,0,1
214,1/10/11,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,0.333333333,0.666666667
215,1/10/11,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,0,1
216,1/10/11,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,0,1
217,1/10/11,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,0.025974026,0.974025974
218,1/10/11,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,0.021276596,0.978723404
219,1/10/11,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,0.021276596,0.978723404
220,1/10/11,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,0,1
221,1/10/11,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,0.066666667,0.933333333
222,1/10/11,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,0.096153846,0.903846154
223,1/10/11,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,0.074074074,0.925925926
224,1/10/11,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,0,1
225,1/10/11,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,0.044444444,0.955555556
226,1/10/11,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,0.054054054,0.945945946
227,1/10/11,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,0.02247191,0.97752809
228,1/10/11,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,0.006451613,0.993548387
229,1/10/11,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,0.031578947,0.968421053
230,1/10/11,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,0.013513514,0.986486486
231,1/10/11,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,0.026315789,0.973684211
232,1/10/11,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,0.083333333,0.916666667
233,1/10/11,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,0,1
234,1/11/11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,0.166666667,0.833333333
235,1/11/11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,0,1
236,1/11/11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,0,1
237,1/11/11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,0,1
238,1/11/11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,0,1
239,1/11/11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99,0.02020202,0.97979798
240,1/11/11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,0.013824885,0.986175115
241,1/11/11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,0.023076923,0.976923077
242,1/11/11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,0.055555556,0.944444444
243,1/11/11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,0.114285714,0.885714286
